user_id,/features/mobile,/,/about,/features/web,/tutorial/intro,/tutorial/step-one,/signup,/features,/tutorial/step-two,/features/desktop,/tutorial/step-three,/pricing,/tutorial/step-four,/tutorial/end
220,9,11,,,12,,13,,,,,,,
282,,2,15,6,16,1,19,,4,,11,,17,19
272,,2,,10,14,,19,,,6,,,,
348,,7,,9,,,,,,,,,,
345,,4,13,5,14,8,20,,19,,4,,1,3
198,10,12,,,14,13,1,,13,,,,,
77,,15,,,3,9,6,5,,,,,,
324,,13,,9,13,3,4,,2,15,9,,1,10
157,,20,9,,9,,11,16,,,,,,
64,,10,,,19,20,5,,7,2,12,,14,16
120,,11,,,15,5,10,,2,,13,,,
259,1,17,,,10,2,16,,17,,11,,1,16
75,,10,,,,,7,,,20,,,,
96,,2,,5,4,,18,,,,,,,
286,2,2,,,,,2,,,,,,,
6,8,19,,19,5,13,2,,20,6,18,,,
141,,8,,,,,,,,,,,,
187,,2,,,18,7,15,,15,,9,17,7,4
222,,7,,,4,,11,,,,,,,
400,,5,,,,,,,,,,,,
161,,8,,15,,,1,,,,,,,
273,,1,,2,,,2,,,,,,,
183,,8,,7,9,13,18,,3,,13,12,13,19
23,,9,,9,12,14,3,4,6,,16,,4,2
211,2,16,,,12,13,4,,,,,,,
164,,2,,2,,,,,,,,,,
464,16,9,,,,,12,,,,,,,
383,2,1,,,,,2,,,,,,,
34,,19,,,11,4,7,,2,,15,,1,5
82,,16,,16,17,20,11,,5,,6,3,,
24,,6,,,9,10,4,,3,16,3,,4,9
281,15,2,,,8,,13,,,,,,,
1,,13,,,7,2,11,18,18,,6,,,
81,8,12,,16,5,8,9,,19,10,3,,10,8
267,1,11,,19,,,,4,,4,,18,,
159,,1,,,,,,,,,,,,
315,,15,,,15,5,16,,5,20,12,,7,10
121,,1,,,,,,,,,,,,
262,,14,,6,15,13,11,2,7,,14,,,
98,15,20,,16,13,6,14,,1,,13,,10,15
175,19,18,,,2,,19,,,,,9,,
403,,9,,,18,16,11,,,,,,,
79,,6,,,,,,,,,,,,
31,13,16,,,14,15,20,10,13,11,6,,9,20
439,,17,,,6,13,15,,14,,,,,
376,,5,,9,,,8,,,,,,,
421,,10,,,9,11,18,2,18,,1,,4,13
331,,1,,2,,,1,,,1,,2,,
73,6,6,,,8,10,18,,10,,20,,5,12
399,,8,,20,16,18,9,,18,,17,,2,
271,,5,,,,,9,,,,,20,,
43,1,1,,1,,,1,,,,,1,,
384,,20,,12,3,14,4,,5,,13,,2,
250,,13,,,12,10,12,,2,,4,,18,11
312,,13,,,11,20,2,,,,,,,
156,1,2,,,,,,,,,,,,
409,,14,,,14,3,12,11,17,13,,,,
66,20,2,,16,18,5,5,19,12,,,,,
284,,14,,,,,,,,,,,,
266,17,7,,,,,2,,,,,,,
4,,1,,,12,6,1,,1,,11,,10,16
21,1,20,,,17,5,10,,5,,2,,17,9
260,,7,,,17,3,1,4,11,13,9,,4,1
102,12,1,,,,,13,,,,,,,
150,,13,,,,,18,3,,12,,,,
148,6,12,,17,,,,,,13,,,,
13,6,8,,2,10,14,14,12,,13,,20,,
446,2,1,,1,,,2,,,,,,,
92,17,1,,,,,4,,,,,,,
423,16,17,,5,13,,13,,,,,,,
65,,2,,10,5,1,11,,5,,9,,19,9
122,,4,,,10,18,8,,20,14,14,,8,19
350,,11,,,8,8,18,,12,,7,,12,
295,14,18,,,18,6,8,,16,14,1,,4,6
305,,20,,,,,,,,,,,,
47,17,14,,14,13,19,1,17,14,,14,,17,11
451,,17,,10,14,11,7,9,9,,9,,19,18
219,17,6,,17,,,,,,17,,,,
216,15,13,,1,9,,4,,,17,,,,
412,15,19,,11,18,17,5,20,,,,,,
60,,2,,,,,17,,,,,20,,
336,,6,,,17,17,7,,11,,,,,
311,,1,,,,,,2,,,,,,
30,,17,,,,,1,,,,,,,
197,,19,,13,7,15,20,,1,,17,,12,4
224,,6,,13,,,19,,,17,,,,
436,11,19,,8,,,20,,,,,,,
204,,8,,20,14,20,6,,1,16,6,,10,
135,17,9,,,1,4,15,6,9,,1,,18,1
14,,2,,1,,,2,,,2,,,,
433,9,8,,,12,,4,11,,1,,,,
22,,17,,,,,,,,,,,,
335,,10,,1,16,19,6,,20,,10,,11,17
193,,2,,,,,,,,,,,,
255,,14,,,18,10,8,,,,,,,
404,,10,,,,,,,,,,,,
448,,17,,8,5,7,11,,,16,,,,
109,,10,,,20,9,14,,14,17,1,,10,
74,15,3,,,2,17,3,1,11,,,,,
136,,8,,8,4,2,8,,4,,8,,5,2
145,,12,,9,,,16,,,,,,,
113,,17,,17,5,13,16,,20,,13,,,
151,,1,,,,,2,1,,2,,2,,
458,,1,,,,,1,,,2,,,,
318,,4,,,,,,,,,,,,
420,2,17,,,,,12,,,,,3,,
227,14,4,,10,17,,16,,,,,,,
80,,12,,,18,,9,,,1,,,,
40,,7,,12,1,9,13,,3,,18,,14,1
407,,14,,3,,,9,,,,,,,
133,18,11,,,16,,20,,,,,,,
195,,12,,,,,,12,,,,,,
290,,17,,18,17,,20,,,20,,,,
124,16,14,,18,,,1,,,,,,,
239,,1,,,,,9,3,,,,,,
226,,19,,,6,,1,14,,17,,,,
377,,9,,,,,,10,,,,,,
283,,3,,,,,11,,,,,,,
237,,17,,,17,20,4,,12,10,15,,,
293,,1,,18,16,9,9,,6,,3,,1,6
134,,8,,,,,,,,,,,,
162,,5,,,,,,,,,,,,
221,,11,,,,,4,19,,,,,,
371,,14,,7,11,14,4,,20,6,15,,17,11
306,10,16,,,4,15,20,,13,19,,,,
275,,4,,9,12,15,15,,4,19,7,,,
319,,8,,,12,9,19,,,,,,,
152,12,20,,,,,,,,,,,,
277,,4,,,16,12,4,9,13,,3,20,,
147,,7,,,5,12,8,,11,,11,,1,
194,1,12,,,,,11,,,,,,,
149,,18,,,11,18,13,,7,,18,20,14,13
154,,12,,,,,,,,,,,,
37,,13,,,6,12,8,,6,20,17,,16,14
138,,2,,,,,14,,,,,,,
343,,17,9,16,20,6,18,,,1,,,,
178,16,12,,,18,8,1,9,19,,,,,
94,,1,,1,,,2,1,,,,,,
166,,2,,,,,6,,,,,,,
12,1,2,,,,,2,,,,,,,
191,7,2,,9,20,19,5,,8,,10,,,
434,10,19,,,4,4,9,15,6,20,12,,1,8
36,1,2,2,2,,,1,,,,,,,
63,,14,,,4,4,10,2,19,8,7,,7,9
427,,10,,3,7,5,1,,14,,8,,1,3
10,8,4,,,,,9,,,,,,,
401,2,1,,,,,2,1,,,,,,
417,15,15,,20,9,,2,,,14,,,,
269,,6,,5,16,,17,8,,,,,,
217,1,2,,1,,,1,,,,,,,
116,6,14,,,12,19,3,,19,,6,,,
143,20,7,14,,,,5,,,4,,,,
441,,1,,,18,,19,6,,,,,,
206,,14,,,4,1,17,1,3,,4,,10,11
177,7,19,,,5,,16,,,,,,,
185,,3,,,,,18,,,,,,,
340,,14,,,,,19,8,,,,,,
411,,1,,1,,,,,,,,,,
414,,7,,10,20,10,8,,5,1,5,,11,12
146,12,9,,,3,19,10,,16,,19,,11,2
137,,5,,,16,12,4,,5,,17,,19,1
413,,1,,,,,2,,,,,,,
38,,7,,9,6,11,6,,17,12,7,,5,7
35,,2,,,,,14,,,,,,,
287,,7,,,,,14,,,2,,,,
387,11,13,9,,,,15,7,,,,,,
296,,18,,12,18,10,12,,,,,,,
153,,9,,,1,3,12,,4,,,,,
391,,2,,,20,14,1,,10,,3,,16,11
119,18,19,,,11,2,13,20,9,,14,,,
337,,14,,19,7,9,9,,1,,12,,15,
130,,19,,16,5,14,4,,11,,19,,13,3
258,,8,,16,,,1,,,,,8,,
347,,19,,7,16,2,19,,5,,18,,10,11
223,,1,,14,8,16,20,,8,,5,,3,13
229,,10,,,7,15,1,,4,8,14,,,
155,,1,,,15,2,10,,5,,9,,18,19
49,,9,,,,,,,,,,,,
111,,2,2,,,,1,,,2,,,,
326,,6,,,7,9,19,,2,,10,,17,
59,,5,,6,15,14,6,,14,,5,6,10,20
90,,5,,17,9,5,8,19,19,10,,,,
57,,11,,,10,6,5,19,17,,14,,3,4
323,,3,1,,8,,15,,,,,,,
398,,18,,,,,10,20,,11,,,,
18,,17,,,19,5,20,8,3,,13,,5,5
364,,13,,,7,2,6,,5,,8,,,
285,8,1,,,11,10,18,,17,,,,,
252,16,10,,,,,6,,,5,,,,
16,,7,,,,,,,,,,,,
181,5,15,,,16,13,14,,11,19,3,,3,
393,,5,,,2,3,12,,19,,1,,,
276,,12,,,,,,,,,,,,
139,4,12,,9,6,18,6,,9,,13,,4,20
309,,4,,,11,1,14,,15,,,3,,
209,,6,12,12,9,16,1,,18,9,2,,8,13
308,,1,,1,,,,,,,,,,
17,14,10,,9,19,7,14,,2,,8,,10,20
443,,3,,,11,12,14,,17,8,8,,17,7
27,,20,,,,,,15,,5,,,,
415,,9,,,20,13,17,,3,,12,6,2,15
256,,15,,,3,,20,,,,,,,
379,,8,,,17,20,7,,3,,6,,,
294,,11,,7,,,,,,,,,,
289,18,15,,,,,4,,,,,13,,
274,,15,,,,,,7,,,,,,
358,10,10,,,5,,13,,,,,,,
450,,2,,19,7,,15,,,18,,,,
257,,2,,,,,1,,,1,,,,
192,,20,,,13,,10,,,,,,,
9,,1,,,,,,,,,,,,
390,,9,,,,,,,,,,,,
236,,2,,,,,1,,,17,,,,
342,,6,,11,2,10,6,,8,,17,,,
76,,3,,,13,16,15,,1,,10,,3,17
397,13,11,,,,,1,,,,,,,
368,,9,,,,,6,13,,,,15,,
56,,8,,15,6,15,1,11,8,,12,,19,
261,17,3,20,,3,6,3,,3,,14,,,
69,18,8,,,20,14,5,10,7,6,15,,,
78,20,16,,10,2,16,13,,3,,14,,3,20
26,,6,,,11,4,1,,13,,12,,8,8
452,,7,,,17,17,12,,10,,3,,,
20,,2,,18,19,,2,,,,,1,,
123,,10,,,3,5,18,,14,12,4,,4,1
70,15,10,,9,11,18,4,,12,12,7,1,3,8
406,14,17,,,,,19,,,,,,,
168,,17,,,4,17,11,,17,,12,,12,1
62,,1,,,,,1,,,2,,,,
25,17,8,,3,16,4,3,,1,5,18,,15,9
128,,16,,,,,,,,,,,,
299,17,4,,,15,3,3,,3,,3,,12,
248,4,4,,,5,16,1,,9,,,,,
184,,15,,,5,5,19,,18,,14,,8,6
265,,6,,2,,,13,,,,,,,
279,17,10,,,7,5,1,,15,,2,,,
131,,1,,,,,1,,,,,,,
212,,17,,6,12,8,16,,10,,5,,,
424,19,11,,12,4,16,4,,12,,1,,,
88,4,6,,,11,,6,,,,,15,,
180,3,17,,,,,6,,,,,,,
165,,4,,,,,2,,,,,,,
3,,16,,,,,,,,,,,,
93,,18,,1,,,11,11,,,,,,
461,,4,,,14,6,10,,,,,,,
430,,10,,1,8,20,3,,,,,,,
444,,19,,17,,,13,11,,,,,,
268,1,1,,2,,,2,,,,,2,,
396,,13,,9,19,8,1,,13,,10,,,
249,,18,,,,,,,,,,,,
426,,6,,,20,12,2,,,,,,,
455,3,17,,,14,6,11,15,16,,7,,11,9
132,,13,,1,,,15,,,,,14,,
244,,4,,,2,9,3,,7,,6,,8,5
325,,3,,,13,14,2,,17,,,,,
